UserIP_Anonymized,Scenario,survey.age,survey.gender,survey.education,survey.political,survey.religious,country_code,Outcome,Continent
019a8304,Switch,20,Men,College,0.5,0,ES,0,Europe
019b49db,Footbridge,32,Men,No College,0.8,0.27,DE,0,Europe
019b49db,Loop,32,Men,No College,0.8,0.27,DE,1,Europe
019b49db,Switch,32,Men,No College,0.8,0.27,DE,1,Europe
019b6587,Footbridge,26,Men,College,0.5,0,JP,1,Asia
019b6587,Loop,26,Men,College,0.5,0,JP,1,Asia
019b6587,Switch,26,Men,College,0.5,0,JP,1,Asia
01b69354,Footbridge,18,Men,College,0.5,0,GB,1,Europe
01b69354,Loop,18,Men,College,0.5,0,GB,1,Europe
01b69354,Switch,18,Men,College,0.5,0,GB,1,Europe
01ba88e8,Footbridge,24,Men,College,0.95,0,JP,0,Asia
01ba88e8,Loop,24,Men,College,0.95,0,JP,1,Asia
01ba88e8,Switch,24,Men,College,0.95,0,JP,1,Asia
01baf4d1,Loop,21,Men,College,0.45,0.76,US,1,Americas
01baf4d1,Switch,21,Men,College,0.45,0.76,US,1,Americas
01bb13eb,Footbridge,21,Men,College,1,0.18,AT,0,Europe
01bb13eb,Loop,21,Men,College,1,0.18,AT,0,Europe
01bb13eb,Switch,21,Men,College,1,0.18,AT,0,Europe
01c0d6e1,Footbridge,41,Men,College,0.5,0.77,MX,1,Americas
01c0d6e1,Loop,41,Men,College,0.5,0.77,MX,1,Americas
01c0d6e1,Switch,41,Men,College,0.5,0.77,MX,1,Americas
01c35991,Footbridge,26,Men,No College,0.37,0,DE,1,Europe
01c35991,Loop,26,Men,No College,0.37,0,DE,1,Europe
01c35991,Switch,26,Men,No College,0.37,0,DE,1,Europe
01c37cbb,Footbridge,26,Men,College,0.5,0.5,KG,0,Asia
01c37cbb,Loop,26,Men,College,0.5,0.5,KG,0,Asia
